Name,RA,Dec,dist,B_Mag,J_Mag,K_Mag,Type,Av,Num_HST
NGC4660,191.133209,11.190533,16.01780715,11.83,9.143,8.247,G,0.151,9.00E+00
NGC4374,186.265747,12.88696,16.02642351,10.18,7.26,6.347,G,0.38,3.00E+01
NGC4595,189.966293,15.2978,16.06925531,12.7,11.006,10.232,G,0.149,3.00E+00
IC0745,178.551041,0.136579,16.073814,14.049,11.909,11.046,G,0.18,1.00E+00
NGC3379,161.956665,12.58163,16.15136385,10.15,7.268,6.362,G,0.399,3.30E+01
NGC4111,181.763031,43.065392,16.1901396,11.5,8.542,7.61,G,0.028,6.00E+00
IC0239,39.115963,38.969044,16.20306497,11.71,10.195,9.515,G,0.037,3.00E+00
NGC4342,185.912598,7.053936,16.27200133,13.726,10.01,9.051,G,0.451,3.00E+00
NGC3938,178.206055,44.120731,16.27200133,10.89,8.96,8.096,G,0.023,2.00E+00
UGC07854,190.466614,9.402834,16.35386551,14.745,13.429,12.621,G,0.209,7.00E+00
NGC4245,184.403259,29.608002,16.40557048,11.785,9.338,8.42,G,0.084,1.00E+00
IC0356,61.94545,69.812431,16.44865869,10.14,7.27,6.144,G,0.047,9.00E+00
NGC4649,190.916702,11.55261,16.45296755,9.77,6.763,5.825,G,0.282,1.80E+01
NGC3972,178.937988,55.320671,16.49605652,11.9,10.54,9.637,G,0.028,4.80E+01
2MASXJ12490814-1124354,192.283951,-11.409855,16.55638221,14.45,10.785,9.989,G,0.099,5.00E+00
NGC4564,189.112473,11.43932,16.66410998,11.836,8.928,7.995,G,0.232,8.00E+00
NGC4694,192.062881,10.983624,16.84079274,12.004,10.019,9.114,G,0.168,1.00E+00
NGC4800,193.657394,46.531139,16.85372119,11.977,9.343,8.365,G,0.308,1.20E+01
NGC4638,190.697632,11.442459,16.90112605,12.121,9.167,8.251,G,0.144,6.00E+00
NGC4318,185.68042,8.198368,16.9140548,14,11.326,10.424,G,0.4,7.00E+00
NGC5363,209.030182,5.2547,16.93129321,11.19,7.899,6.987,G,0.367,3.00E+00
NGC4298,185.386627,14.606049,16.96577037,11.79,9.429,8.466,G,0.318,1.10E+01
NGC4179,183.217087,1.299673,17.02179669,11.78,8.862,7.953,G,0.123,1.00E+00
NGC5300,207.067017,3.9509,17.02610645,12.672,10.402,9.495,G,0.139,3.00E+00
UGC08516,202.969147,20.001177,17.05627499,13.54,12.038,11.263,G,0.072,1.00E+00
NGC4551,188.908249,12.26401,17.08213401,12.76,9.866,8.953,G,0.314,1.00E+01
NGC4519,188.37616,8.65446,17.09506361,12.22,10.892,9.994,G,0.325,5.00E+00
NGC4138,182.374115,43.685318,17.25022357,12.3,9.184,8.268,G,0.021,2.00E+00
IC3602,189.529572,10.082562,17.35366844,15.5,14.387,13.402,G,0.101,7.00E+00
NGC1370,53.810738,-20.373615,17.41401309,13.119,10.897,10.015,G,0.157,2.00E+00
NGC5248,204.383621,8.88506,17.42263387,10.71,8.317,7.382,G,0.05,1.00E+01
NGC4220,184.048889,47.883354,17.52177472,12.2,9.172,8.222,G,0.066,4.00E+00
NGC4314,185.63324,29.895304,17.52608527,11.275,8.608,7.658,G,0.151,7.00E+00
NGC3877,176.532425,47.494499,17.56919118,10.9,8.834,7.812,G,0.108,5.00E+00
NGC4643,190.833893,1.978399,17.61229777,11.55,8.377,7.468,G,0.159,3.00E+00
NGC4183,183.320251,43.698269,17.62522988,12.3,11.066,10.18,G,0.062,4.00E+00
IC3633,190.046875,9.895947,17.63385132,15.397,14.246,13.638,G,0.144,7.00E+00
NGC6207,250.765625,36.832424,17.71144551,11.67,10.157,9.287,G,0.041,1.30E+01
NGC4283,185.086609,29.310898,17.73299984,12.91,10.085,9.193,G,0.157,8.00E+00
NGC4026,179.85495,50.961689,17.73299984,11.68,8.588,7.658,G,0.058,2.00E+00
NGC7457,345.249725,30.144892,17.77610901,11.691,9.229,8.325,G,0.066,1.70E+01
NGC7320,339.014069,33.948101,17.84508511,12.9,11.608,10.912,G,0.432,3.30E+01
NGC3913,177.662201,55.353867,17.88388493,13.516,12.09,11.29,G,0.039,3.00E+00
NGC3353,161.343292,55.960377,17.90544062,13.252,11.649,10.821,G,0.072,1.00E+00
NGC4670,191.321457,27.12549,18.01322163,13.092,11.455,10.621,G,0.316,9.00E+00
NGC4117,181.942032,43.126465,18.06926944,13.728,11.087,10.155,G,0.02,5.00E+00
NGC4350,185.990891,16.693356,18.08651515,11.85,8.802,7.86,G,0.283,7.00E+00
NGC4143,182.40036,42.534218,18.20723818,11.879,8.847,7.904,G,0.027,3.00E+00
NGC4123,182.046173,2.878309,18.21154981,11.753,10.022,9.144,G,0.078,3.00E+00
NGC5273,205.534943,35.65424,18.34521388,12.569,9.724,8.836,G,0.034,1.30E+01
NGC1068,40.66988,-0.01329,18.41420434,9.41,7.014,5.812,G,0.288,2.20E+01
NGC3928,177.948685,48.683144,18.42282827,13,10.715,9.801,G,0.039,9.00E+00
NGC4206,183.820312,13.02384,18.53486489,12.08,10.655,9.686,G,0.11,4.00E+00
NGC5839,226.364471,1.634633,18.59962484,13.082,10.272,9.316,G,0.119,2.00E+00
NGC4151,182.636078,39.405762,18.62118617,11.142,8.657,7.503,G,0.035,8.00E+01
NGC4503,188.025803,11.176434,18.76780779,12.01,8.906,7.98,G,0.399,1.00E+00
NGC4528,188.525269,11.321266,18.78074537,12.755,9.939,9.035,G,0.329,7.00E+00
NGC4540,188.711945,15.551446,18.80662071,12.2,10.35,9.437,G,0.264,5.00E+00
NGC4033,180.144775,-17.842607,18.89718633,12.528,9.659,8.765,G,0.188,4.00E+00
NGC4754,193.073181,11.31366,19.01794516,11.464,8.476,7.58,G,0.11,7.00E+00
NGC4217,183.962082,47.091789,19.06107461,11.687,8.921,7.704,G,0.04,3.00E+00
NGC3640,170.278549,3.234764,19.18615385,11.21,8.478,7.552,G,0.128,9.00E+00
NGC3998,179.484039,55.453564,19.19046703,11.55,8.381,7.423,G,0.035,2.70E+01
NGC3957,178.506424,-19.568722,19.35868632,12.593,9.669,8.689,G,0.154,1.00E+01
NGC3992,179.399933,53.374519,19.36299978,9.907,8.048,7.139,G,0.039,2.00E+00
NGC4203,183.770935,33.197243,19.36731323,11.55,8.44,7.508,G,0.083,3.80E+01
NGC3501,165.697113,17.989532,19.39319413,12.8,10.521,9.408,G,0.358,4.00E+00
NGC4647,190.88559,11.58247,19.52260225,11.79,9.059,8.202,G,0.221,1.80E+01
NGC4775,193.440445,-6.622148,19.65633042,11.916,10.413,9.614,G,0.099,1.00E+00
NGC4262,184.877426,14.877717,19.71672593,12.32,9.344,8.417,G,0.24,7.00E+00
NGC4030,180.098511,-1.099963,19.8547778,11.8,8.358,7.403,G,0.055,3.00E+00
NGC1362,53.471149,-20.282438,19.86340628,13.504,11.196,10.338,G,0.122,2.00E+00
UGC01104,23.177227,18.317097,19.8806633,13.773,13.085,12.261,G,0.345,2.00E+00
NGC4666,191.286148,-0.46191,19.91517769,10.98,8.259,7.102,G,0.102,1.60E+01
NGC4027,179.875702,-19.265173,20.11795848,11.5,9.582,8.697,G,0.103,1.00E+00
NGC4313,185.660583,11.800867,20.20425274,11.78,9.57,8.566,G,0.363,1.00E+00
NGC3226,155.862549,19.898439,20.31212438,12.525,9.621,8.733,G,0.112,8.00E+00
NGC3522,166.668549,20.085621,20.55377229,13.93,11.305,10.501,G,0.109,4.00E+00
NGC3073,150.216843,55.618935,20.59692594,13.769,12.028,11.179,G,0.4,4.00E+00
NGC3608,169.245697,18.148531,20.76954736,12.001,9.063,8.176,G,0.189,6.00E+00
NGC4539,188.644836,18.202579,20.80838868,12.605,10.667,9.778,G,0.286,1.00E+00
UGC09215,215.863174,1.726193,20.87312544,13.509,12.01,11.122,G,0.057,3.00E+00
NGC1331,51.61813,-21.355663,20.88607297,13.947,11.68,10.867,G,0.082,4.00E+00
NGC3346,160.912033,14.871983,20.96375946,12.4,10.438,9.587,G,0.207,2.00E+00
NGC4561,189.033905,19.32259,21.02849989,12.7,11.803,11.054,G,0.251,2.00E+00
NGC5806,225.001801,1.891267,21.06302874,11.91,9.556,8.608,G,0.119,3.40E+01
NGC6283,254.860657,49.921986,21.16661791,13.001,12.076,11.294,G,0.041,1.00E+00
UGC04879,139.00914,52.839993,21.30042638,13.17,15.464,14.862,G,0.172,4.00E+00
NGC3156,153.171692,3.12932,21.30474289,12.8,10.544,9.675,G,0.134,1.40E+01
NGC3370,161.76683,17.273697,21.45582506,12.183,10.464,9.544,G,0.21,1.38E+02
NGC3338,160.531448,13.74693,21.46445858,11.387,9.4,8.448,G,0.14,3.00E+00
NGC3185,154.410767,21.688284,21.50330975,12.369,10.232,9.323,G,0.064,3.00E+00
UGC01862,36.103317,-2.162374,21.52489397,13.986,11.956,11.189,G,0.069,2.00E+00
NGC4041,180.55072,62.137287,21.66735409,11.985,9.44,8.492,G,0.035,9.00E+00
NGC4579,189.431656,11.81809,21.69325673,9.831,7.505,6.622,G,0.216,1.90E+01
NGC3524,166.633789,11.385305,21.73211114,13.354,10.556,9.685,G,0.132,1.00E+00
NGC3287,158.697113,21.648331,21.84004295,12.6,10.979,10.091,G,0.08,4.00E+00
ESO482-017,54.430519,-22.908081,21.85731244,14.62,13.654,12.748,G,0.191,1.00E+00
NGC5582,215.179703,39.693584,21.93070896,12.846,9.953,9.076,G,0.309,4.00E+00
NGC7177,330.171875,17.738117,22.05591932,11.527,9.17,8.234,G,0.349,8.00E+00
NGC3177,154.142334,21.122868,22.07319016,12.995,10.304,9.291,G,0.078,2.00E+00
NGC4303,185.478958,4.47359,22.07750789,10.2,7.897,6.987,G,0.387,1.90E+01
NGC3796,175.129776,60.298958,22.11636775,13.733,10.975,10.079,G,0.165,5.00E+00
NGC2775,137.583801,7.037924,22.32362961,10.613,7.999,7.113,G,0.41,6.00E+00
NGC5576,215.265381,3.271049,22.336584,11.906,8.838,7.922,G,0.18,9.00E+00
NGC0972,38.555771,29.311243,22.34953845,11.46,9.002,7.912,G,0.051,5.00E+00
NGC5577,215.304626,3.435767,22.38408394,12.7,10.904,10.052,G,0.174,2.00E+00
NGC3945,178.30719,60.67556,22.4143116,11.773,8.667,7.702,G,0.022,6.00E+00
NGC2591,129.356369,78.026436,22.42294814,12.1,10.567,9.541,G,0.059,1.00E+00
IC3652,190.24411,11.184408,22.44885791,14.073,12.336,11.55,G,0.192,7.00E+00
NGC5845,226.503281,1.633824,22.58272897,13.871,10.118,9.154,G,0.136,6.00E+00
NGC1198,46.555164,41.848976,22.76411307,13.118,10.797,9.892,G,0.435,1.00E+00
UGC03574,103.293571,57.177761,22.79866378,12.4,11.852,10.968,G,0.176,3.00E+00
UGC11868,329.769592,18.177485,22.85049067,12.71,14.082,13.333,G,0.17,4.00E+00
NGC3245,156.826523,28.507435,22.87208549,11.66,8.885,7.939,G,0.037,4.00E+00
PGC1609953,155.843613,19.914177,22.92823283,17.49,14.73,14.033,G,0.122,3.00E+00
NGC3485,165.009964,14.841549,23.0362117,12.53,10.717,9.809,G,0.25,3.00E+00
NGC1461,57.113079,-16.392927,23.26082137,12.374,9.373,8.423,G,0.181,1.00E+00
NGC4221,183.999756,66.230682,23.33425544,12.995,10.13,9.244,G,0.085,2.00E+00
NGC3838,176.057205,57.948101,23.33857515,13.272,10.285,9.401,G,0.123,2.00E+00
NGC3193,154.603683,21.893978,23.37313309,11.78,8.971,8.07,G,0.055,1.00E+00
NGC4995,197.419388,-7.833392,23.40337165,11.72,9.279,8.332,G,0.402,1.00E+00
NGC1022,39.636261,-6.67739,23.4120113,11.337,9.566,8.639,G,0.387,7.00E+00
NGC4391,186.328018,64.933556,23.44225028,13.924,11.008,10.11,G,0.118,2.00E+00
ESO548-029,52.69651,-21.058233,23.52432921,13.962,12.09,11.214,G,0.096,1.00E+00
NGC5921,230.485672,5.07054,23.58480998,11.52,9.281,8.378,G,0.086,3.00E+00
NGC3626,170.015808,18.356791,23.73601775,11.896,9.189,8.25,G,0.156,1.20E+01
NGC3414,162.817673,27.974968,23.8483489,11.918,8.997,8.076,G,0.427,3.00E+00
NGC3448,163.663498,54.305229,23.87427213,12.15,10.624,9.669,G,0.261,1.00E+00
NGC4125,182.02507,65.174133,23.90883681,10.964,7.91,6.984,G,0.054,2.00E+01
IC5078,315.63031,-16.8183,23.92611932,12.49,10.786,9.941,G,0.335,1.00E+00
NGC3277,158.231079,28.511728,23.94340193,12.48,9.941,9.042,G,0.048,3.00E+00
NGC5584,215.599213,-0.387449,24.02981663,11.9,10.835,9.968,G,0.096,7.40E+01
NGC3265,157.778198,28.7964,24.13351785,14.113,11.483,10.527,G,0.042,4.00E+00
NGC3818,175.488983,-6.15566,24.21993853,12.726,9.888,8.965,G,0.449,4.00E+00
NGC4689,191.939682,13.762688,24.27611342,11.548,9.311,8.493,G,0.12,3.00E+00
NGC3611,169.375656,4.555429,24.41007358,12.776,10.533,9.6,G,0.087,1.00E+00
NGC1367,53.75563,-24.933109,24.61750863,11.61,8.747,7.837,G,0.063,3.00E+00
NGC2748,138.429321,76.475342,24.66072624,12,9.874,8.845,G,0.216,7.00E+00
IC3501,188.465027,13.322598,24.71691014,14.583,12.368,11.522,G,0.255,7.00E+00
NGC0178,9.784965,-14.172848,24.73851964,13.074,11.838,11.091,G,0.14,2.00E+00
NGC2517,120.696136,-12.317807,24.76012931,12.977,9.905,8.951,G,0.055,2.00E+00
NGC4121,181.98616,65.113976,24.79902715,14.3,11.616,10.724,G,0.045,8.00E+00
NGC5831,226.029266,1.219917,24.87682446,11.857,9.46,8.545,G,0.06,5.00E+00
NGC1741B,75.398125,-4.263173,24.92436835,14.938,14.373,13.706,G,0.115,7.00E+00
NGC5638,217.418289,3.233443,24.98487994,12.144,9.269,8.359,G,0.063,1.00E+00
UGC12182,341.407928,73.162025,24.99784688,13.679,12.757,11.937,G,0.329,4.00E+00
