Name,RA,Dec,dist,B_Mag,J_Mag,K_Mag,Type,Av,Num_HST
NGC5377,209.069458,47.235565,29.66991727,11.898,9.386,8.471,G,0.072,6.00E+00
NGC4305,185.515045,12.740823,29.67424693,12.85,11.014,10.167,G,0.403,1.00E+00
NGC4255,184.7341,4.785923,29.94702918,13.407,10.488,9.568,G,0.334,1.00E+00
IC3492,188.332382,12.853547,30.00765111,14.964,13.743,13.097,G,0.37,7.00E+00
IC3509,188.548187,12.048859,30.0163115,14.74,13.023,12.173,G,0.225,7.00E+00
NGC2770,137.390091,33.123413,30.03796258,11.4,10.517,9.573,G,0.106,6.00E+01
NGC1266,49.00312,-2.42737,30.15488135,13.014,10.662,9.684,G,0.108,1.60E+01
NGC4291,185.073746,75.370964,30.22416888,12.517,9.441,8.495,G,0.11,7.00E+00
IC2311,124.691574,-25.36977,30.24582159,12.265,9.382,8.414,G,0.078,2.00E+00
NGC7465,345.503967,15.964876,30.26314388,13.119,10.605,9.605,G,0.091,5.00E+00
NGC3458,164.006042,57.11697,30.32810343,13.2,10.317,9.394,G,0.362,1.00E+00
NGC2592,126.783669,25.970339,30.53598426,13.034,10.189,9.211,G,0.291,1.00E+00
PGC039660,184.846313,5.794853,30.60095022,15.21,12.497,11.577,G,0.327,3.00E+00
UGC08085,194.57196,14.557241,30.67458016,13.41,12.637,11.766,G,0.403,1.00E+00
NGC5443,210.549271,55.814037,30.75254341,12.443,10.101,9.165,G,0.157,3.00E+00
NGC7454,345.27713,16.388371,30.9128081,12.363,9.834,8.927,G,0.068,4.00E+00
NGC5422,210.175262,55.164478,31.07308207,13,9.799,8.853,G,0.068,2.00E+00
NGC1309,50.527321,-15.400072,31.40665498,11.791,10.109,9.216,G,0.07,1.75E+02
NGC4352,186.02092,11.218024,31.40665498,13.06,10.854,10.019,G,0.427,7.00E+00
NGC2778,138.101639,35.027424,31.54096193,13.144,10.502,9.612,G,0.118,9.00E+00
NGC7468,345.746552,16.6045,31.54529452,13.832,12.501,11.699,G,0.088,2.00E+00
UGC05870,161.497528,34.964897,31.68827381,14.026,11.766,10.909,G,0.094,3.00E+00
NGC5389,209.02652,59.741985,31.72726944,12.74,9.704,8.723,G,0.049,2.00E+00
NGC2906,143.026031,8.441907,31.76193269,12.314,10.175,9.203,G,0.139,1.00E+01
NGC5017,198.227081,-16.765879,31.78359744,13.172,10.362,9.371,G,0.446,1.00E+00
NGC5480,211.589676,50.724998,31.82259442,12.6,10.586,9.702,G,0.237,3.00E+00
NGC4152,182.656296,16.032934,31.8875906,12.34,10.619,9.746,G,0.067,1.00E+00
NGC6654,276.031372,73.18325,31.96558803,12.743,9.667,8.716,G,0.058,2.00E+00
UGC10043,237.171616,21.869387,32.16059123,13.6,11.903,10.516,G,0.46,2.00E+00
NGC5485,211.797134,55.001518,32.2125944,12.242,9.418,8.497,G,0.465,4.00E+00
NGC3065,150.480438,72.170288,32.25159742,13.141,10.093,9.106,G,0.374,1.00E+00
NGC5587,215.544739,13.917938,32.28626723,13.49,10.736,9.77,G,0.209,2.00E+00
NGC0488,20.4452,5.25672,32.53763635,10.97,8.084,7.133,G,0.217,3.00E+00
NGC2339,107.085594,18.780296,32.55497299,11.624,9.66,8.62,G,0.063,1.00E+00
NGC2211,94.626465,-18.53721,32.65899512,13.244,10.426,9.469,G,0.082,2.00E+00
NGC4568,189.142883,11.23863,32.77602469,11.32,8.635,7.625,G,0.273,1.00E+01
