,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
10,6983.0,NGC0720,NGC0720,01530052-1344192,,G,28.25218,-13.738679999999999,26.420259198000004,,0.009063,10.700999999999999,,-21.4087,8.323,0.015,7.6339999999999995,0.016,7.396,0.016,3,1,0.043,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (28.25218, -13.73868)>",0.0,False
11,38795.0,NGC4157,NGC4157,12110436+5029048,,G,182.76818799999998,50.48468,15.457801899300001,,0.00410088205044,11.0,0.3,-19.9457,8.654,0.016,7.768,0.016,7.443,0.016,3,1,0.057,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (182.768188, 50.48468)>",0.0,False
12,41812.0,NGC4535,NGC4535,12342031+0811519,,G,188.584625,8.19776,29.938369007800002,,0.001355,9.951,,-22.4301,8.51,0.019,7.872999999999999,0.021,7.601,0.025,3,1,0.052,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (188.584625, 8.19776)>",0.0,False
13,45313.0,NGC4958,NGC4958,13054887-0801129,,G,196.45365900000002,-8.020272,16.8149360109,,0.00268758134379,11.3,0.3,-19.8285,8.532,0.006,7.869,0.006,7.642,0.012,3,1,0.125,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (196.453659, -8.020272)>",0.0,False
14,11819.0,NGC1232,NGC1232,03094551-2034454,,G,47.439640000000004,-20.5793,27.0819961688,,0.006759,10.609000000000002,,-21.5544,8.555,0.017,8.052999999999999,0.02,7.729,0.023,3,1,0.07,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (47.43964, -20.5793)>",0.0,False
15,37366.0,NGC3962,NGC3962,11544010-1358299,,G,178.667099,-13.974986,23.3731330948,,0.00819315409658,11.5,0.3,-20.3436,8.677,0.01,7.99,0.011000000000000001,7.746,0.019,3,1,0.121,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (178.667099, -13.974986)>",0.0,False
16,71047.0,NGC7606,NGC7606,23190480-0829065,,G,349.77002000000005,-8.48514,34.558084979499995,,0.007579953789979999,11.03,0.3,-21.6627,8.761000000000001,0.016,7.938,0.016,7.78,0.018000000000000002,3,1,0.098,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (349.77002, -8.48514)>",0.0,False
17,49514.0,NGC5371,NGC5371,13554002+4027423,,G,208.91676299999997,40.461769,37.6349382379,,0.00857682428841,11.32,0.3,-21.558000000000003,8.725,0.016,8.057,0.017,7.776,0.018000000000000002,3,1,0.026,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (208.916763, 40.461769)>",0.0,False
18,39492.0,NGC4251,NGC4251,12180830+2810310,,G,184.534607,28.175299,18.6168738927,,0.0069,11.692,,-19.6575,8.719,0.006,8.04,0.006999999999999999,7.8,0.011000000000000001,3,1,0.059,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (184.534607, 28.175299)>",0.0,False
19,46541.0,NGC5087,NGC5087,13202496-2036396,,G,200.104004,-20.611027,19.1085177859,,0.0072299999999999994,11.484000000000002,,-19.9221,8.842,0.006,8.107999999999999,0.008,7.853,0.013000000000000001,3,1,0.277,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (200.104004, -20.611027)>",0.0,False
20,53499.0,NGC5792,NGC5792,14582270-0105278,,G,224.59462000000002,-1.0910799999999998,28.0035024685,,0.00483735241868,11.6,0.3,-20.6361,8.817,0.016,8.105,0.017,7.851,0.019,3,1,0.156,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (224.59462, -1.09108)>",0.0,False
21,23303.0,NGC2566,NGC2566,08184560-2529582,,G,124.69003300000001,-25.499519,27.4064350867,,0.007825,11.079,,-21.1103,8.907,0.017,8.211,0.017,7.919,0.02,3,1,0.387,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (124.690033, -25.499519)>",0.0,False
22,51978.0,NGC5676,NGC5676,14324685+4927281,,G,218.195221,49.457809000000005,33.9335831678,,0.00811881405941,11.24,0.3,-21.4131,9.055,0.01,8.288,0.013999999999999999,8.006,0.013999999999999999,3,1,0.077,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (218.195221, 49.457809)>",0.0,False
23,36875.0,NGC3893,NGC3893,11483820+4842388,,G,177.15919499999998,48.710789,18.371085095799998,,0.00423465211733,10.88,0.3,-20.4407,8.927999999999999,0.013999999999999999,8.235,0.018000000000000002,8.012,0.021,3,1,0.057,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (177.159195, 48.710789)>",0.0,False
24,26151.0,NGC2811,NGC2811,09161109-1618457,,G,139.046249,-16.312717000000003,32.0999220975,,0.0066983733491899995,12.11,0.3,-20.4225,9.006,0.009000000000000001,8.293,0.011000000000000001,8.038,0.016,3,1,0.145,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (139.046249, -16.312717)>",0.0,False
25,35676.0,NGC3726,NGC3726,11332117+4701447,,G,173.338226,47.029090999999994,17.0562749927,,0.00324471162236,10.8,0.3,-20.3594,8.934,0.017,8.253,0.019,8.056000000000001,0.023,3,1,0.045,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (173.338226, 47.029091)>",0.0,False
