,Dec,Galaxies,RA
150,20.749886,['NGC7798'],359.856262
151,13.172904999999998,['NGC4193'],183.473282
152,40.917648,['NGC2785'],138.813858
153,53.624752,['NGC6798'],291.013306
154,-18.339472,['NGC1383'],54.413559
155,22.15958,['NGC7137'],327.054321
156,85.739937,['IC0499'],131.32048
157,-6.970963,['NGC4628'],190.605316
158,-10.086153,['NGC5885'],228.767288
159,76.809387,['NGC3329'],161.16403200000005
160,45.29813400000001,['UGC11466'],295.744843
161,71.636787,['NGC4749'],192.800003
162,25.232645,['NGC6547'],271.291748
163,14.638735999999998,['NGC5600'],215.956421
164,-6.570132000000001,['NGC1666'],72.136864
165,39.876972,['NGC3648'],170.631195
166,12.483369,['NGC4880'],195.043884
167,59.080109,['IC2166'],96.731789
168,17.188482,['IC1711'],22.73028
169,43.084015,['NGC5103'],200.125229
170,-25.637888,['ESO498-004'],140.948715
171,10.865998,['NGC4178'],183.193512
172,-2.563425,['NGC2706'],134.0513
173,11.886627,['NGC4607'],190.301697
174,47.681984,['IC0065'],15.230966
175,47.261311,['NGC4010'],179.65829499999995
176,-9.009439,['NGC5729'],220.528687
177,-10.063459,['NGC4682'],191.814529
178,9.206488,['NGC0489'],20.474596
179,5.384774,['NGC4300'],185.422836
180,36.25450900000001,['NGC2543'],123.241478
181,6.467703,['NGC4532'],188.580536
182,40.057709,['NGC6675'],279.360321
183,-8.38862,['NGC1337'],52.02483
184,8.078453,['NGC5665'],218.107483
185,58.20581800000001,['NGC3182'],154.887558
186,3.237995,['NGC5574'],215.233109
187,-23.002504,['NGC1438'],56.321732
188,-9.845692,['NGC3730'],173.55806
189,-5.2246739999999985,['NGC1248'],48.202328
190,-23.820786,['ESO514-005'],229.764999
191,16.544645000000006,['NGC0473'],19.979469
192,8.36013,['NGC4488'],187.714157
193,12.917349,['NGC0514'],21.01627
194,60.119682,['NGC3835'],176.020309
195,22.84717,['NGC3248'],156.93927
196,4.673152,['NGC2966'],145.547852
197,-24.073835,['ESO509-074'],203.922363
198,4.270082,['NGC3055'],148.825195
199,14.60124,['NGC6012'],238.558105
200,-9.036466,['NGC4129'],182.221664
201,-5.521394,['NGC0895'],35.401958
202,8.535803999999999,['NGC4356'],186.060562
203,-19.764105,['ESO580-029'],221.890259
204,17.621157,['NGC3457'],163.70259099999996
205,-12.276427,['NGC5119'],201.001266
206,12.047511,['NGC5957'],233.846832
207,-2.6032580000000003,['NGC2690'],133.158508
208,9.009861,['IC0719'],175.077042
209,-22.278807,['ESO576-032'],199.966644
210,61.530453,['NGC3471'],164.787567
211,15.769937,['NGC3094'],150.357986
212,1.477889,['NGC4581'],189.521378
213,-7.417505,['NGC5534'],214.41774
214,49.622612,['NGC5660'],217.457504
215,23.356743,['NGC2357'],109.420753
216,61.59551999999999,['UGC03685'],107.274811
217,73.690376,['NGC3403'],163.478546
218,22.737574,['NGC3162'],153.381546
219,43.39827,['NGC1171'],45.995853
220,-13.282654999999998,['PGC053724'],225.75087
221,2.494357,['NGC4409'],186.743652
222,49.2491,['NGC2856'],141.066696
223,1.196855,['NGC4599'],190.112808
224,68.085014,['UGC08737'],207.069611
225,-3.212143,['NGC5604'],216.17836
226,-10.197839,['NGC4663'],191.196106
227,18.017141,['NGC3605'],169.19426
228,-6.980059,['IC0127'],22.44833
229,7.2167080000000015,['IC3322A'],186.427643
230,-10.626838,['NGC1843'],78.52559699999998
231,41.503304,['NGC5289'],206.286118
232,3.374309,['UGC05376'],150.11279299999995
233,33.047501000000004,['NGC5611'],216.019897
234,-16.550207,['PGC013821'],56.65880600000001
235,57.132183,['NGC3683A'],172.29885900000005
236,-8.434484,['PGC027316'],144.05166599999995
237,-23.458746,['ESO496-003'],129.938583
238,-13.449796,['NGC4897'],195.220612
239,-2.529713,['NGC5768'],223.033112
240,5.998364,['NGC6017'],239.314529
241,-9.941274,['NGC3375'],161.753265
242,3.964635,['NGC4412'],186.650421
243,24.095051,['NGC5016'],198.027863
244,-14.358684,['PGC013716'],56.004307
245,21.443447,['NGC2764'],137.072983
246,-18.670219,['ESO554-038'],87.149445
247,-19.02895,['ESO548-047'],53.681107
248,-25.872957,['ESO513-015'],225.94426
249,11.624763,['NGC4497'],187.885544
250,41.366344,['NGC5320'],207.584915
251,9.055736,['IC0676'],168.165909
252,-22.367634,['IC4468'],219.611389
253,2.896605,['NGC4799'],193.814758
254,-20.471256,['NGC7185'],330.73645
255,29.927591,['NGC4136'],182.323761
256,4.246471,['NGC4480'],187.611588
257,7.275003999999999,['NGC5645'],217.664169
258,-8.210734,['PGC048085'],204.25238
259,-16.52597,['NGC2848'],140.041245
260,-7.930617999999999,['NGC5339'],208.50116
261,73.435806,['UGC10803'],259.022034
262,20.228252,['IC0610'],156.618179
263,-17.589298,['NGC5890'],229.463226
264,10.595537,['NGC4078'],181.198456
265,-6.8178,['NGC4813'],194.150528
266,40.151218,['NGC2844'],140.450104
267,14.093122,['NGC6570'],272.780396
268,-22.004835,['NGC2227'],96.491554
269,17.604898000000006,['NGC6555'],271.954865
270,2.100763,['NGC5147'],201.582108
271,62.51152800000001,['NGC5205'],202.515381
272,5.931838,['NGC6014'],238.989105
273,-16.767778,['PGC027130'],143.313614
274,26.980701,['NGC5116'],200.731827
275,53.77175500000001,['NGC2701'],134.77383400000002
276,-23.025309,['ESO499-009'],147.57547
277,-12.130581,['PGC047770'],203.458603
278,56.559608,['NGC5963'],233.365814
279,85.537186,['IC0455'],113.740021
280,-23.180771,['IC2152'],89.472542
281,-4.444739,['NGC7351'],340.362244
282,25.317614000000006,['NGC5523'],213.717957
283,28.601772,['NGC3380'],162.050644
284,-22.421101,['ESO576-076'],202.678665
285,-17.243969,['NGC5781'],224.171722
286,12.610858,['NGC4413'],186.634415
287,13.275932,['UGC11168'],273.498413
288,-11.468698,['NGC0255'],11.94712
289,84.808571,['UGC04601'],134.28063999999998
290,-20.116894,['ESO564-027'],137.977768
